Year,Judges,Justice Secretary,Law Clerck,Auxiliar Clerck,Administrative/Technical People,Operational/Auxiliar People,CC_Civil,CC_Criminal,CC_labor,CC_criminal_labor,CC_tutelar,CC_militar,CC_Civil_prev_year,CC_Criminal_prev_year,CC_labor_prev_year,CC_criminal_labor_prev_year,CC_tutelar_prev_year,CC_militar_prev_year,PC_Civil_prev_year,PC_Criminal_prev_year,PC_labor_prev_year,PC_criminal_labor_prev_year,PC_tutelar_prev_year,PC_militar_prev_year,Court_Acores,Court_Aveiro,Court_Beja,Court_Braga,Court_Braganca,Court_Castelo Branco,Court_Coimbra,Court_Evora,Court_Faro,Court_Guarda,Court_Leiria,Court_Lisboa,Court_Lisboa Norte,Court_Lisboa Oeste,Court_Madeira,Court_Portalegre,Court_Porto,Court_Porto Este,Court_Santarem,Court_Setubal,Court_Viana do Castelo,Court_Vila Real,Court_Viseu,Municipality_Abrantes,Municipality_Agueda,Municipality_Albergaria-a-Velha,Municipality_Albufeira,Municipality_Alcobaca,Municipality_Alenquer,Municipality_Alijo,Municipality_Almada,Municipality_Almeida,Municipality_Almeirim,Municipality_Almodovar,Municipality_Amadora,Municipality_Amarante,Municipality_Amares,Municipality_Anadia,Municipality_Angra do Heroismo,Municipality_Ansiao,Municipality_Arcos de Valdevez,Municipality_Arganil,Municipality_Arouca,Municipality_Aveiro,Municipality_Baiao,Municipality_Barcelos,Municipality_Barreiro,Municipality_Beja,Municipality_Benavente,Municipality_Braga,Municipality_Braganca,Municipality_Cabeceiras de Basto,Municipality_Caldas da Rainha,Municipality_Caminha,Municipality_Cantanhede,Municipality_Cartaxo,Municipality_Cascais,Municipality_Castelo Branco,Municipality_Castelo de Paiva,Municipality_Castro Daire,Municipality_Celorico da Beira,Municipality_Celorico de Basto,Municipality_Chaves,Municipality_Cinfaes,Municipality_Coimbra,Municipality_Condeixa-a-Nova,Municipality_Coruche,Municipality_Covilha,Municipality_Cuba,Municipality_Elvas,Municipality_Entroncamento,Municipality_Espinho,Municipality_Esposende,Municipality_Estarreja,Municipality_Estremoz,Municipality_Evora,Municipality_Fafe,Municipality_Faro,Municipality_Felgueiras,Municipality_Ferreira do Alentejo,Municipality_Figueira da Foz,Municipality_Figueira de Castelo Rodrigo,Municipality_Figueiro dos Vinhos,Municipality_Fronteira,Municipality_Funchal,Municipality_Fundao,Municipality_Gondomar,Municipality_Gouveia,Municipality_Grandola,Municipality_Guarda,Municipality_Guimaraes,Municipality_Horta,Municipality_Idanha-a-Nova,Municipality_Ilhavo,Municipality_Lagoa,Municipality_Lagos,Municipality_Lamego,Municipality_Leiria,Municipality_Lisboa,Municipality_Loule,Municipality_Loures,Municipality_Lourinha,Municipality_Lousa,Municipality_Lousada,Municipality_Macedo de Cavaleiros,Municipality_Mafra,Municipality_Maia,Municipality_Mangualde,Municipality_Marco de Canaveses,Municipality_Marinha Grande,Municipality_Matosinhos,Municipality_Mealhada,Municipality_Melgaco,Municipality_Miranda do Douro,Municipality_Mirandela,Municipality_Mogadouro,Municipality_Moimenta da Beira,Municipality_Moita,Municipality_Moncao,Municipality_Montalegre,Municipality_Montemor-o-Novo,Municipality_Montemor-o-Velho,Municipality_Montijo,Municipality_Moura,Municipality_Nazare,Municipality_Nelas,Municipality_Nisa,Municipality_Odemira,Municipality_Oeiras,Municipality_Oleiros,Municipality_Olhao,Municipality_Oliveira de Azemeis,Municipality_Oliveira de Frades,Municipality_Oliveira do Bairro,Municipality_Oliveira do Hospital,Municipality_Ourem,Municipality_Ourique,Municipality_Ovar,Municipality_Pacos de Ferreira,Municipality_Paredes,Municipality_Paredes de Coura,Municipality_Penacova,Municipality_Penafiel,Municipality_Peniche,Municipality_Peso da Regua,Municipality_Pinhel,Municipality_Pombal,Municipality_Ponta Delgada,Municipality_Ponta do Sol,Municipality_Ponte da Barca,Municipality_Ponte de Lima,Municipality_Ponte de Sor,Municipality_Portalegre,Municipality_Portimao,Municipality_Porto,Municipality_Porto Santo,Municipality_Porto de Mos,Municipality_Povoa de Lanhoso,Municipality_Povoa de Varzim,Municipality_Redondo,Municipality_Reguengos de Monsaraz,Municipality_Ribeira Grande,Municipality_Rio Maior,Municipality_Santa Comba Dao,Municipality_Santa Cruz,Municipality_Santa Cruz  Graciosa (R.A.A),Municipality_Santa Cruz das Flores,Municipality_Santa Maria da Feira,Municipality_Santarem,Municipality_Santiago do Cacem,Municipality_Santo Tirso,Municipality_Sao Joao da Madeira,Municipality_Sao Pedro do Sul,Municipality_Sao Roque do Pico,Municipality_Satao,Municipality_Seia,Municipality_Seixal,Municipality_Serpa,Municipality_Serta,Municipality_Sesimbra,Municipality_Setubal,Municipality_Silves,Municipality_Sines,Municipality_Sintra,Municipality_Soure,Municipality_Tabua,Municipality_Tavira,Municipality_Tomar,Municipality_Tondela,Municipality_Torre de Moncorvo,Municipality_Torres Novas,Municipality_Torres Vedras,Municipality_Trancoso,Municipality_Vagos,Municipality_Vale de Cambra,Municipality_Valenca,Municipality_Valongo,Municipality_Valpacos,Municipality_Velas (R.A.A.),Municipality_Viana do Castelo,Municipality_Vieira do Minho,Municipality_Vila Flor,Municipality_Vila Franca de Xira,Municipality_Vila Franca do Campo,Municipality_Vila Nova de Cerveira,Municipality_Vila Nova de Famalicao,Municipality_Vila Nova de Foz Coa,Municipality_Vila Nova de Gaia,Municipality_Vila Pouca de Aguiar,Municipality_Vila Praia da Vitoria,Municipality_Vila Real,Municipality_Vila Real de Santo Antonio,Municipality_Vila Verde,Municipality_Vila Vicosa,Municipality_Vila do Conde,Municipality_Vila do Porto,Municipality_Viseu,Bench_Central Civil,Bench_Central Civil and Criminal,Bench_Central Criminal,Bench_Commerce,Bench_Criminal Instruction,Bench_Execution,Bench_Family and Minors,Bench_Family/Minors and Labor,Bench_Generic,Bench_Labor,Bench_Local Civil,Bench_Local Criminal,Bench_Small Criminal
2016,4.0,0,4,4,0,0,547,0,0,0,0,0,797.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016,3.0,0,4,1,0,0,16,153,0,0,0,0,19.0,151.0,0.0,0.0,0.0,0.0,21.0,127.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016,3.0,0,4,4,0,0,1113,0,0,0,0,0,1167.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016,3.0,0,6,6,0,0,679,1098,0,0,0,0,553.0,923.0,0.0,0.0,0.0,0.0,715.0,604.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016,2.0,0,2,2,0,0,298,282,0,0,0,0,432.0,321.0,0.0,0.0,0.0,0.0,468.0,168.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016,1.0,1,0,2,0,0,108,41,0,0,53,0,278.0,51.0,0.0,0.0,63.0,0.0,351.0,24.0,0.0,0.0,31.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016,2.0,1,5,5,0,0,1034,512,0,0,0,0,1185.0,528.0,0.0,0.0,0.0,0.0,1141.0,311.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016,1.0,0,2,2,0,0,437,0,0,0,0,0,492.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016,1.0,0,2,2,0,0,79,294,0,0,0,0,52.0,381.0,0.0,0.0,0.0,0.0,116.0,178.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016,4.0,0,4,11,0,0,4310,0,0,0,0,0,4144.0,0.0,0.0,0.0,0.0,0.0,2398.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
