Variable,Value
"Judges, Court_Acores, Municipality_Angra do Heroismo, Bench_Central Civil and Criminal",1.0
"Judges, Court_Acores, Municipality_Angra do Heroismo, Bench_Local Civil",1.0
"Judges, Court_Acores, Municipality_Angra do Heroismo, Bench_Local Criminal",1.0
"Judges, Court_Acores, Municipality_Horta, Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Ponta Delgada, Bench_Central Civil and Criminal",1.0
"Judges, Court_Acores, Municipality_Ponta Delgada, Bench_Criminal Instruction",1.0
"Judges, Court_Acores, Municipality_Ponta Delgada, Bench_Family and Minors",1.0
"Judges, Court_Acores, Municipality_Ponta Delgada, Bench_Labor",1.0
"Judges, Court_Acores, Municipality_Ponta Delgada, Bench_Local Civil",1.0
"Judges, Court_Acores, Municipality_Ponta Delgada, Bench_Local Criminal",1.0
"Judges, Court_Acores, Municipality_Ribeira Grande, Bench_Local Civil",1.0
"Judges, Court_Acores, Municipality_Ribeira Grande, Bench_Local Criminal",1.0
"Judges, Court_Acores, Municipality_Santa Cruz  Graciosa (R.A.A), Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Santa Cruz das Flores, Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Sao Roque do Pico, Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Velas (R.A.A.), Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Vila Franca do Campo, Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Vila Praia da Vitoria, Bench_Family/Minors and Labor",1.0
"Judges, Court_Acores, Municipality_Vila Praia da Vitoria, Bench_Generic",1.0
"Judges, Court_Acores, Municipality_Vila do Porto, Bench_Generic",11.0
"Judges, Court_Aveiro, Municipality_Agueda, Bench_Execution",1.0
"Judges, Court_Aveiro, Municipality_Agueda, Bench_Labor",1.0
"Judges, Court_Aveiro, Municipality_Agueda, Bench_Local Civil",1.0
"Judges, Court_Aveiro, Municipality_Agueda, Bench_Local Criminal",1.0
"Judges, Court_Aveiro, Municipality_Albergaria-a-Velha, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Anadia, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Arouca, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Central Civil",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Central Criminal",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Commerce",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Criminal Instruction",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Family and Minors",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Labor",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Local Civil",1.0
"Judges, Court_Aveiro, Municipality_Aveiro, Bench_Local Criminal",1.0
"Judges, Court_Aveiro, Municipality_Castelo de Paiva, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Espinho, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Estarreja, Bench_Family and Minors",1.0
"Judges, Court_Aveiro, Municipality_Estarreja, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Ilhavo, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Mealhada, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Oliveira de Azemeis, Bench_Commerce",1.0
"Judges, Court_Aveiro, Municipality_Oliveira de Azemeis, Bench_Execution",1.0
"Judges, Court_Aveiro, Municipality_Oliveira de Azemeis, Bench_Labor",1.0
"Judges, Court_Aveiro, Municipality_Oliveira de Azemeis, Bench_Local Civil",1.0
"Judges, Court_Aveiro, Municipality_Oliveira de Azemeis, Bench_Local Criminal",1.0
"Judges, Court_Aveiro, Municipality_Oliveira do Bairro, Bench_Family and Minors",1.0
"Judges, Court_Aveiro, Municipality_Oliveira do Bairro, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Ovar, Bench_Execution",1.0
"Judges, Court_Aveiro, Municipality_Ovar, Bench_Local Civil",1.0
"Judges, Court_Aveiro, Municipality_Ovar, Bench_Local Criminal",43.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Central Civil",1.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Central Criminal",1.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Criminal Instruction",1.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Family and Minors",1.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Labor",1.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Local Civil",1.0
"Judges, Court_Aveiro, Municipality_Santa Maria da Feira, Bench_Local Criminal",1.0
"Judges, Court_Aveiro, Municipality_Sao Joao da Madeira, Bench_Family and Minors",1.0
"Judges, Court_Aveiro, Municipality_Sao Joao da Madeira, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Vagos, Bench_Generic",1.0
"Judges, Court_Aveiro, Municipality_Vale de Cambra, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Almodovar, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Beja, Bench_Central Civil and Criminal",1.0
"Judges, Court_Beja, Municipality_Beja, Bench_Family and Minors",6.0
"Judges, Court_Beja, Municipality_Beja, Bench_Labor",1.0
"Judges, Court_Beja, Municipality_Beja, Bench_Local Civil",1.0
"Judges, Court_Beja, Municipality_Beja, Bench_Local Criminal",1.0
"Judges, Court_Beja, Municipality_Cuba, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Ferreira do Alentejo, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Moura, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Odemira, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Ourique, Bench_Generic",1.0
"Judges, Court_Beja, Municipality_Serpa, Bench_Generic",1.0
"Judges, Court_Braga, Municipality_Amares, Bench_Local Civil",1.0
"Judges, Court_Braga, Municipality_Amares, Bench_Local Criminal",1.0
"Judges, Court_Braga, Municipality_Barcelos, Bench_Family and Minors",1.0
"Judges, Court_Braga, Municipality_Barcelos, Bench_Labor",1.0
"Judges, Court_Braga, Municipality_Barcelos, Bench_Local Civil",1.0
"Judges, Court_Braga, Municipality_Barcelos, Bench_Local Criminal",1.0
"Judges, Court_Braga, Municipality_Braga, Bench_Central Civil",1.0
"Judges, Court_Braga, Municipality_Braga, Bench_Central Criminal",1.0
"Judges, Court_Braga, Municipality_Braga, Bench_Criminal Instruction",56.0
"Judges, Court_Braga, Municipality_Braga, Bench_Family and Minors",1.0
"Judges, Court_Braga, Municipality_Braga, Bench_Labor",1.0
"Judges, Court_Braga, Municipality_Braga, Bench_Local Civil",1.0
"Judges, Court_Braga, Municipality_Braga, Bench_Local Criminal",1.0
"Judges, Court_Braga, Municipality_Cabeceiras de Basto, Bench_Generic",1.0
"Judges, Court_Braga, Municipality_Celorico de Basto, Bench_Generic",1.0
"Judges, Court_Braga, Municipality_Esposende, Bench_Generic",1.0
"Judges, Court_Braga, Municipality_Fafe, Bench_Family and Minors",1.0
"Judges, Court_Braga, Municipality_Fafe, Bench_Local Civil",1.0
"Judges, Court_Braga, Municipality_Fafe, Bench_Local Criminal",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Central Civil",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Central Criminal",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Commerce",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Criminal Instruction",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Execution",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Family and Minors",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Labor",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Local Civil",1.0
"Judges, Court_Braga, Municipality_Guimaraes, Bench_Local Criminal",1.0
"Judges, Court_Braga, Municipality_Povoa de Lanhoso, Bench_Generic",1.0
"Judges, Court_Braga, Municipality_Vieira do Minho, Bench_Generic",1.0
"Judges, Court_Braga, Municipality_Vila Nova de Famalicao, Bench_Commerce",1.0
"Judges, Court_Braga, Municipality_Vila Nova de Famalicao, Bench_Execution",1.0
"Judges, Court_Braga, Municipality_Vila Nova de Famalicao, Bench_Family and Minors",1.0
"Judges, Court_Braga, Municipality_Vila Nova de Famalicao, Bench_Labor",1.0
"Judges, Court_Braga, Municipality_Vila Nova de Famalicao, Bench_Local Civil",1.0
